house_address,house_region,house_area,house_id,total_price,unit_price,house_layout,house_floor,house_rental_area,house_structure,house_inner_area,house_building_type,house_orientation,house_building_structure,house_decoration,house_elevator_sytle,house_elevator,house_listing_time,house_transaction_type,house_last_time,house_useage,house_years,house_property,house_mortgage_info,house_book,house_fx_id,house_longitude,house_latitude,city
绿地海顿公馆C,包河,周谷堆,103115392953,198,22293元/平米,房屋户型2室1厅1厨1卫,所在楼层高楼层 (共18层),建筑面积88.82㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向东南,建筑结构钢混结构,装修情况精装,梯户比例两梯四户,供暖方式暂无数据,2021-06-04,商品房,2011-06-04,普通住宅,满五年,共有,无抵押,已上传房本照片,,117.31169795412,31.835278901027,合肥
丽阳兰庭,包河,周谷堆,103116247014,137,18070元/平米,房屋户型2室2厅1厨1卫,所在楼层中楼层 (共26层),建筑面积75.82㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例两梯四户,供暖方式暂无数据,2021-07-23,商品房,2010-08-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.31080726756,31.826935120066,合肥
九珑湾,包河,工业园,103114974187,235,22242元/平米,房屋户型3室1厅1厨1卫,所在楼层高楼层 (共31层),建筑面积105.66㎡,户型结构平层,套内面积84.19㎡,建筑类型板塔结合,房屋朝向北,建筑结构钢混结构,装修情况精装,梯户比例两梯三户,供暖方式暂无数据,2021-05-12,商品房,2013-06-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.32184779469,31.798111832813,合肥
丽阳兰庭,包河,周谷堆,103116168351,130,17760元/平米,房屋户型2室1厅1厨1卫,所在楼层中楼层 (共26层),建筑面积73.2㎡,户型结构平层,套内面积暂无数据,建筑类型板楼,房屋朝向南 北,建筑结构钢混结构,装修情况精装,梯户比例两梯十一户,供暖方式暂无数据,2021-07-18,商品房,2018-10-18,普通住宅,满两年,非共有,有抵押 70万元,已上传房本照片,,117.31080726756,31.826935120066,合肥
星海城,包河,包公,103115725764,216,19439元/平米,房屋户型3室2厅1厨1卫,所在楼层低楼层 (共34层),建筑面积111.12㎡,户型结构平层,套内面积90.19㎡,建筑类型板塔结合,房屋朝向南 北,建筑结构钢混结构,装修情况毛坯,梯户比例两梯三户,供暖方式暂无数据,2021-06-23,商品房,2020-11-10,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,117.30759389867,31.82747532462,合肥
淝南家园南区,包河,常青,103115614697,130,15113元/平米,房屋户型2室2厅1厨1卫,所在楼层中楼层 (共11层),建筑面积86.02㎡,户型结构平层,套内面积73.26㎡,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例两梯三户,供暖方式暂无数据,2021-06-17,回迁房,2019-09-30,普通住宅,未满两年,非共有,有抵押 90万元 客户偿还,已上传房本照片,,117.28563412683,31.809882379083,合肥
国贸公寓,包河,周谷堆,103116901410,230,16038元/平米,房屋户型3室2厅1厨2卫,所在楼层高楼层 (共18层),建筑面积143.41㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例两梯四户,供暖方式暂无数据,2021-08-29,商品房,2016-09-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,,117.30843222124,31.851745037146,合肥
铂金汉宫,包河,包公,103116870592,178,19969元/平米,房屋户型2室1厅1厨1卫,所在楼层低楼层 (共28层),建筑面积89.14㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南 北,建筑结构钢混结构,装修情况精装,梯户比例四梯八户,供暖方式暂无数据,2021-08-28,商品房,2011-01-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.30737200295,31.830799656404,合肥
和昌都汇华府,包河,周谷堆,103116661018,198,22358元/平米,房屋户型3室2厅1厨1卫,所在楼层高楼层 (共32层),建筑面积88.56㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例两梯四户,供暖方式暂无数据,2021-08-16,商品房,2013-03-01,普通住宅,满五年,共有,无抵押,已上传房本照片,,117.31597861501,31.82962039135,合肥
创智广场,包河,包公,103116559357,84,12735元/平米,房屋户型2室1厅1厨1卫,所在楼层中楼层 (共29层),建筑面积65.96㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例四梯十四户,供暖方式暂无数据,2021-08-11,商品房,2018-01-02,普通住宅,满两年,非共有,有抵押 53万元 中国 客户偿还,已上传房本照片,,117.30582465092,31.833505441201,合肥
美丽华公寓,包河,常青,103115818141,128,13764元/平米,房屋户型2室1厅1厨1卫,所在楼层中楼层 (共5层),建筑面积93㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况简装,梯户比例一梯两户,供暖方式暂无数据,2021-06-28,商品房,2004-08-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.27938093677,31.832503723664,合肥
和地蓝湾,包河,周谷堆,103115895245,235,22396元/平米,房屋户型3室2厅1厨1卫,所在楼层低楼层 (共4层),建筑面积104.93㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南 北,建筑结构钢混结构,装修情况精装,梯户比例一梯两户,供暖方式暂无数据,2021-07-03,商品房,2012-07-12,普通住宅,满五年,非共有,有抵押 45万元,已上传房本照片,,117.31133783429,31.829086319401,合肥
绿地海顿公馆B,包河,周谷堆,103115984135,87,19608元/平米,房屋户型1室1厅1厨1卫,所在楼层高楼层 (共18层),建筑面积44.37㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况精装,梯户比例两梯四户,供暖方式暂无数据,2021-07-07,商品房,2017-07-06,普通住宅,满两年,非共有,无抵押,已上传房本照片,,117.31123465523,31.836587783457,合肥
万振城市广场,包河,周谷堆,103113600370,52,10472元/平米,房屋户型1室1厅1厨1卫,所在楼层高楼层 (共30层),建筑面积49.66㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向北,建筑结构钢混结构,装修情况简装,梯户比例四梯十三户,供暖方式暂无数据,2021-03-02,商品房,2016-04-06,普通住宅,满五年,非共有,有抵押 40万元,已上传房本照片,,117.30984163325,31.827456645563,合肥
绿地海顿公馆C,包河,周谷堆,103116882583,76,16693元/平米,房屋户型1室1厅1厨1卫,所在楼层中楼层 (共18层),建筑面积45.53㎡,户型结构平层,套内面积暂无数据,建筑类型板塔结合,房屋朝向南,建筑结构钢混结构,装修情况其他,梯户比例两梯四户,供暖方式暂无数据,2021-08-28,商品房,2011-03-16,普通住宅,满五年,非共有,有抵押 49万元,已上传房本照片,,117.31169795412,31.835278901027,合肥
金地国际城,包河,周谷堆,103116121932,80,11575元/平米,房屋户型2室1厅1厨1卫,所在楼层低楼层 (共30层),建筑面积69.12㎡,户型结构平层,套内面积51.19㎡,建筑类型板塔结合,房屋朝向西北,建筑结构钢混结构,装修情况简装,梯户比例三梯十九户,供暖方式暂无数据,2021-07-15,商品房,2009-06-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.30942620912,31.843043637141,合肥
风和园,包河,包公,103115518573,222,27206元/平米,房屋户型3室1厅1厨1卫,所在楼层中楼层 (共6层),建筑面积81.6㎡,户型结构平层,套内面积暂无数据,建筑类型板楼,房屋朝向南 北,建筑结构砖混结构,装修情况精装,梯户比例一梯两户,供暖方式暂无数据,2021-06-11,商品房,2019-03-11,普通住宅,满两年,非共有,有抵押 80万元 光大银行 客户偿还,已上传房本照片,,117.3083634639,31.855603660409,合肥
和昌都汇华府,包河,周谷堆,103114418037,194,21904元/平米,房屋户型3室2厅1厨1卫,所在楼层中楼层 (共32层),建筑面积88.57㎡,户型结构平层,套内面积70.02㎡,建筑类型板塔结合,房屋朝向南 北,建筑结构钢混结构,装修情况精装,梯户比例两梯四户,供暖方式暂无数据,2021-04-11,商品房,2013-04-07,普通住宅,满五年,非共有,有抵押 30万元 中国银行 业主自还,已上传房本照片,,117.31597861501,31.82962039135,合肥
珠光花园,包河,周谷堆,103110541769,135,15764元/平米,房屋户型3室1厅1厨1卫,所在楼层中楼层 (共6层),建筑面积85.64㎡,户型结构平层,套内面积暂无数据,建筑类型板楼,房屋朝向南 北,建筑结构砖混结构,装修情况简装,梯户比例一梯两户,供暖方式暂无数据,2020-08-01,回迁房,2013-11-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,,117.31014449381,31.832344902422,合肥
