站点名称,POI编号,拼音名称,gd经度,gd纬度,路线名称,城市名称,行政区名称,bd经度,bd纬度
金安桥,BV10813545,jin an qiao,116.163167,39.92362,S1线,北京,石景山区,116.169034,39.929669
四道桥,BV10813547,si dao qiao,116.13401,39.91603,S1线,北京,门头沟区,116.140356,39.922119
桥户营,BV10813541,qiao hu ying,116.125809,39.912383,S1线,北京,门头沟区,116.132271,39.918355
上岸,BV10813543,shang an,116.122225,39.905138,S1线,北京,门头沟区,116.128714,39.911139
栗园庄,BV10813544,li yuan zhuang,116.123254,39.89578,S1线,北京,门头沟区,116.129827,39.901772
小园,BV10813542,xiao yuan,116.114443,39.890465,S1线,北京,门头沟区,116.121001,39.896157
石厂,BV10813546,shi chang,116.100334,39.889378,S1线,北京,门头沟区,116.106975,39.895137
苹果园,BV10013454,ping guo yuan,116.177388,39.926727,1号线,北京,石景山区,116.184405,39.9322
古城,BV10000295,gu cheng,116.190337,39.90745,1号线,北京,石景山区,116.197076,39.913414
八角游乐园,BV10013455,ba jiao you le yuan,116.212684,39.907442,1号线,北京,石景山区,116.219395,39.913076
八宝山,BV10000302,ba bao shan,116.235948,39.90744,1号线,北京,石景山区,116.2424,39.913187
玉泉路,BV10013456,yu quan lu,116.252888,39.907433,1号线,北京,海淀区,116.259475,39.913501
五棵松,BV10013457,wu ke song,116.273987,39.907456,1号线,北京,海淀区,116.280661,39.913834
万寿路,BV10013458,wan shou lu,116.294765,39.907474,1号线,北京,海淀区,116.301384,39.913712
公主坟,BV10000306,gong zhu fen,116.309919,39.907469,1号线,北京,海淀区,116.316746,39.913701
军事博物馆,BV10000188,jun shi bo wu guan,116.321459,39.907422,1号线,北京,海淀区,116.330207,39.914976
木樨地,BV10013459,mu xi di,116.337583,39.907379,1号线,北京,西城区,116.3441,39.913126
南礼士路,BV10000309,nan li shi lu,116.352583,39.907234,1号线,北京,西城区,116.359177,39.912979
复兴门,BV10007375,fu xing men,116.356866,39.907242,1号线,北京,西城区,116.36376,39.913025
西单,BV10006791,xi dan,116.374072,39.907383,1号线,北京,西城区,116.381905,39.913327
天安门西,BV10005941,tian an men xi,116.391278,39.907472,1号线,北京,西城区,116.398036,39.913776
天安门东,BV10006499,tian an men dong,116.401216,39.90778,1号线,北京,东城区,116.407913,39.914083
王府井,BV10006496,wang fu jing,116.411571,39.908069,1号线,北京,东城区,116.418017,39.914402
东单,BV10013440,dong dan,116.41848,39.908325,1号线,北京,东城区,116.425374,39.914503
建国门,BV10013432,jian guo men,116.435806,39.908501,1号线,北京,东城区,116.44195,39.914505
永安里,BV10013460,yong an li,116.450497,39.908454,1号线,北京,朝阳区,116.457086,39.914223
国贸,BV10013461,guo mao,116.461841,39.909104,1号线,北京,朝阳区,116.467328,39.914437
大望路,BV10013364,da wang lu,116.475783,39.908287,1号线,北京,朝阳区,116.483555,39.914615
四惠,BV10000275,si hui,116.495456,39.908749,1号线,北京,朝阳区,116.502033,39.914861
四惠东,BV10007589,si hui dong,116.515664,39.908495,1号线,北京,朝阳区,116.521965,39.914941
积水潭,BV10013430,ji shui tan,116.373126,39.948653,2号线,北京,西城区,116.379185,39.954765
鼓楼大街,BV10013431,gu lou da jie,116.393776,39.948972,2号线,北京,西城区,116.400232,39.95461
安定门,BV10001936,an ding men,116.40824,39.94918,2号线,北京,东城区,116.414597,39.955441
雍和宫,BV10006563,yong he gong,116.417069,39.949336,2号线,北京,东城区,116.42312,39.955113
东直门,BV10002731,dong zhi men,116.435842,39.941626,2号线,北京,东城区,116.441365,39.947769
东四十条,BV10001047,dong si shi tiao,116.434133,39.933801,2号线,北京,东城区,116.440638,39.939841
朝阳门,BV10004298,zhao yang men,116.434584,39.924499,2号线,北京,东城区,116.440194,39.93046
建国门,BV10013432,jian guo men,116.435806,39.908501,2号线,北京,东城区,116.44195,39.914505
北京站,BV10006813,bei jing zhan,116.427287,39.904983,2号线,北京,东城区,116.433608,39.911127
崇文门,BV10013433,chong wen men,116.417093,39.901063,2号线,北京,东城区,116.424429,39.907162
前门,BV10005884,qian men,116.397937,39.900192,2号线,北京,东城区,116.404588,39.905524
和平门,BV10013434,he ping men,116.384209,39.900098,2号线,北京,西城区,116.390619,39.906362
宣武门,BV10013415,xuan wu men,116.374314,39.899765,2号线,北京,西城区,116.380848,39.905881
长椿街,BV10013435,chang chun jie,116.363355,39.899433,2号线,北京,西城区,116.369911,39.90534
复兴门,BV10007375,fu xing men,116.356866,39.907242,2号线,北京,西城区,116.36376,39.913025
阜成门,BV10001036,fu cheng men,116.356009,39.923686,2号线,北京,西城区,116.362817,39.929522
车公庄,BV10013437,che gong zhuang,116.354357,39.932397,2号线,北京,西城区,116.361887,39.938351
西直门,BV10001595,xi zhi men,116.355426,39.940474,2号线,北京,西城区,116.361446,39.946471
天宫院,BV10003869,tian gong yuan,116.319932,39.670342,4号线大兴线,北京,大兴区,116.326437,39.676122
生物医药基地,BV10013422,sheng wu yi yao ji di,116.321662,39.68651,4号线大兴线,北京,大兴区,116.328218,39.692272
义和庄,BV10010394,yi he zhuang,116.319079,39.712387,4号线大兴线,北京,大兴区,116.325538,39.718296
黄村火车站,BV10000372,huang cun huo che zhan,116.332611,39.722966,4号线大兴线,北京,大兴区,116.339482,39.728326
黄村西大街,BV10002783,huang cun xi da jie,116.332631,39.731769,4号线大兴线,北京,大兴区,116.339128,39.73738
清源路,BV10013275,qing yuan lu,116.332513,39.742724,4号线大兴线,北京,大兴区,116.339019,39.748354
枣园,BV10013421,zao yuan,116.332204,39.753458,4号线大兴线,北京,大兴区,116.338975,39.759079
高米店南,BV10013420,gao mi dian nan,116.331605,39.763489,4号线大兴线,北京,大兴区,116.33841,39.769059
高米店北,BV10013419,gao mi dian bei,116.330787,39.773547,4号线大兴线,北京,大兴区,116.337331,39.779548
西红门,BV10000383,xi hong men,116.328689,39.7898,4号线大兴线,北京,大兴区,116.335169,39.795445
新宫,BV10013418,xin gong,116.365549,39.812592,4号线大兴线,北京,丰台区,116.372097,39.818302
公益西桥,BV10008170,gong yi xi qiao,116.370796,39.836135,4号线大兴线,北京,丰台区,116.37729,39.842329
角门西,BV10013417,jiao men xi,116.371154,39.84585,4号线大兴线,北京,丰台区,116.377646,39.851929
马家堡,BV10009949,ma jia bao,116.371361,39.853109,4号线大兴线,北京,丰台区,116.377878,39.859199
北京南站,BV10006454,bei jing nan zhan,116.378963,39.865029,4号线大兴线,北京,丰台区,116.385629,39.871108
陶然亭,BV10013416,tao ran ting,116.374383,39.87847,4号线大兴线,北京,西城区,116.380902,39.884625
菜市口,BV10013379,cai shi kou,116.374425,39.889296,4号线大兴线,北京,西城区,116.380956,39.895379
宣武门,BV10013415,xuan wu men,116.374314,39.899765,4号线大兴线,北京,西城区,116.380848,39.905881
西单,BV10006791,xi dan,116.374072,39.907383,4号线大兴线,北京,西城区,116.381905,39.913327
灵境胡同,BV10008400,ling jing hu tong,116.373746,39.915912,4号线大兴线,北京,西城区,116.380223,39.922136
西四,BV10013414,xi si,116.373332,39.924206,4号线大兴线,北京,西城区,116.37977,39.930248
平安里,BV10013413,ping an li,116.372883,39.933949,4号线大兴线,北京,西城区,116.377535,39.939734
新街口,BV10013412,xin jie kou,116.367742,39.940667,4号线大兴线,北京,西城区,116.374132,39.94658
西直门,BV10001595,xi zhi men,116.355426,39.940474,4号线大兴线,北京,西城区,116.361446,39.946471
动物园,BV10006771,dong wu yuan,116.339031,39.93825,4号线大兴线,北京,西城区,116.345204,39.943923
国家图书馆,BV10000252,GuoJia TuShuGuan,116.32519,39.943114,4号线大兴线,北京,海淀区,116.331555,39.948479
魏公村,BV10000255,wei gong cun,116.32322,39.957904,4号线大兴线,北京,海淀区,116.329874,39.963457
人民大学,BV10000258,ren min da xue,116.321367,39.966956,4号线大兴线,北京,海淀区,116.32809,39.97277
海淀黄庄,BV10013411,hai dian huang zhuang,116.317564,39.975996,4号线大兴线,北京,海淀区,116.324346,39.981865
中关村,BV10013410,zhong guan cun,116.316467,39.983991,4号线大兴线,北京,海淀区,116.323066,39.989956
北京大学东门,BV10013409,bei jing da xue dong men,116.315842,39.992212,4号线大兴线,北京,海淀区,116.322265,39.998006
圆明园,BV10013408,yuan ming yuan,116.310186,39.999662,4号线大兴线,北京,海淀区,116.315938,40.005466
西苑,BV10000920,xi yuan,116.290908,39.998258,4号线大兴线,北京,海淀区,116.297852,40.0049
北宫门,BV10013407,bei gong men,116.277647,40.002373,4号线大兴线,北京,海淀区,116.28399,40.008678
安河桥北,BV10013406,an he qiao bei,116.269956,40.012195,4号线大兴线,北京,海淀区,116.276432,40.018657
宋家庄,BV10000743,song jia zhuang,116.428368,39.845849,5号线,北京,丰台区,116.434908,39.851735
刘家窑,BV10013438,liu jia yao,116.422119,39.857521,5号线,北京,丰台区,116.428565,39.863697
蒲黄榆,BV10006603,pu huang yu,116.42372,39.865621,5号线,北京,丰台区,116.428882,39.871689
天坛东门,BV10013439,tian tan dong men,116.420833,39.882558,5号线,北京,东城区,116.427392,39.888497
磁器口,BV10013383,ci qi kou,116.41994,39.893172,5号线,北京,东城区,116.425886,39.899336
崇文门,BV10013433,chong wen men,116.417093,39.901063,5号线,北京,东城区,116.424429,39.907162
东单,BV10013440,dong dan,116.41848,39.908325,5号线,北京,东城区,116.425374,39.914503
灯市口,BV10013441,deng shi kou,116.417783,39.917113,5号线,北京,东城区,116.424268,39.92337
东四,BV10013442,dong si,116.417493,39.92437,5号线,北京,东城区,116.423284,39.93053
